,occu,raw,proc,compr,crop,cal,flush,pack,start,end,type
163,368.0,368,0,0.0,0,0,0,0,2022-03-20 12:00:00,2022-03-20 12:01:00,<class 'TMclass.RAW'>
164,320.0,0,0,0.0,320,0,0,0,2022-03-20 12:01:00,2022-03-20 12:02:00,<class 'TMclass.CROP'>
165,368.0,0,368,0.0,0,0,0,0,2022-03-20 12:02:00,2022-03-20 12:42:00,<class 'TMclass.PROC'>
166,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-20 12:42:00,2022-03-20 12:43:00,<class 'TMclass.COMPR'>
167,368.0,368,0,0.0,0,0,0,0,2022-03-20 18:00:00,2022-03-20 18:01:00,<class 'TMclass.RAW'>
168,320.0,0,0,0.0,320,0,0,0,2022-03-20 18:01:00,2022-03-20 18:02:00,<class 'TMclass.CROP'>
169,368.0,0,368,0.0,0,0,0,0,2022-03-20 18:02:00,2022-03-20 18:42:00,<class 'TMclass.PROC'>
170,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-20 18:42:00,2022-03-20 18:43:00,<class 'TMclass.COMPR'>
171,368.0,368,0,0.0,0,0,0,0,2022-03-21 00:00:00,2022-03-21 00:01:00,<class 'TMclass.RAW'>
172,320.0,0,0,0.0,320,0,0,0,2022-03-21 00:01:00,2022-03-21 00:02:00,<class 'TMclass.CROP'>
173,368.0,0,368,0.0,0,0,0,0,2022-03-21 00:02:00,2022-03-21 00:42:00,<class 'TMclass.PROC'>
174,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-21 00:42:00,2022-03-21 00:43:00,<class 'TMclass.COMPR'>
175,368.0,368,0,0.0,0,0,0,0,2022-03-21 06:00:00,2022-03-21 06:01:00,<class 'TMclass.RAW'>
176,320.0,0,0,0.0,320,0,0,0,2022-03-21 06:01:00,2022-03-21 06:02:00,<class 'TMclass.CROP'>
177,368.0,0,368,0.0,0,0,0,0,2022-03-21 06:02:00,2022-03-21 06:42:00,<class 'TMclass.PROC'>
178,0.0,0,0,12.742239999999999,0,0,0,0,2022-03-21 06:42:00,2022-03-21 06:43:00,<class 'TMclass.COMPR'>
179,368.0,368,0,0.0,0,0,0,0,2022-03-21 12:00:00,2022-03-21 12:01:00,<class 'TMclass.RAW'>
180,320.0,0,0,0.0,320,0,0,0,2022-03-21 12:01:00,2022-03-21 12:02:00,<class 'TMclass.CROP'>
